society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
emaar imperial gardens,1.98,sector 102,9900.0,3.0,3.0,3+,9.0,Relatively New,flat,2222.0,0,0,0,0,0,1,72,"28.4750° N, 76.9715° E",28.475,76.9715
pareena mi casa,1.7,sector 68,8504.0,4.0,4.0,3,2.0,New Property,flat,1809.0,0,0,0,0,0,0,47,"28.3853° N, 77.0484° E",28.3853,77.0484
central park resorts,11.25,sector 48,28266.0,4.0,5.0,3+,2.0,Relatively New,flat,4422.0,0,0,0,0,0,0,45,"28.4177° N, 77.0359° E",28.4177,77.0359
independent,4.31,sector 25,31926.0,5.0,4.0,3,3.0,Old Property,house,1350.0,0,0,0,0,0,0,40,"28.4844° N, 77.0860° E",28.4844,77.086
independent,15.0,sector 26,33201.0,5.0,6.0,3+,3.0,Moderately Old,house,4518.0,1,1,1,1,0,1,78,"28.4757° N, 77.1032° E",28.4757,77.1032
ansal heights 86,1.3,sector 86,4666.0,4.0,6.0,2,11.0,New Property,flat,2521.0,0,0,0,0,0,0,86,"28.3986° N, 76.9384° E",28.3986,76.9384
independent,5.5,sector 43,28424.0,1.0,1.0,0,1.0,Old Property,house,1935.0,0,0,0,0,1,0,12,"28.4629° N, 77.0772° E",28.4629,77.0772
new sathi apartments,1.59,sector 54,7067.0,3.0,3.0,3+,3.0,Moderately Old,flat,2250.0,0,0,0,0,0,1,127,"28.4348° N, 77.1089° E",28.4348,77.1089
ss almeria,1.5,sector 84,7500.0,3.0,3.0,3,2.0,New Property,flat,1849.0,0,0,0,0,0,0,108,"28.3979° N, 76.9736° E",28.3979,76.9736
maxworth city residences,0.8,sector 10a,6400.0,2.0,3.0,2,9.0,New Property,flat,1389.0,0,0,0,0,0,0,46,"28.4469° N, 77.0106° E",28.4469,77.0106
dlf royalton tower,6.5,sector 43,22109.0,4.0,5.0,2,8.0,Relatively New,flat,2661.0,0,0,0,0,0,0,15,"28.4629° N, 77.0772° E",28.4629,77.0772
orchid petals,2.55,sector 49,12319.0,3.0,4.0,3,8.0,Relatively New,flat,2060.0,0,0,0,0,0,1,49,"28.4121° N, 77.0480° E",28.4121,77.048
dlf the skycourt,1.6,sector 86,8294.0,3.0,3.0,3+,9.0,Relatively New,flat,1548.0,0,0,0,0,0,1,167,"28.3986° N, 76.9384° E",28.3986,76.9384
raheja sampada,0.7,sector 92,4453.0,3.0,3.0,0,7.0,Relatively New,flat,1572.0,0,0,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
